job_name;salary_min;salary_max;salary_currency;company_name;location;date;job_link;source
Data Scientist;;;;Сбер. IT;Нижний Новгород;;https://kazan.hh.ru/vacancy/53321394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data Scientist;;;;Сбер для экспертов;Санкт-Петербург;02.03.2022;https://kazan.hh.ru/vacancy/53266085?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data Scientist (математик-аналитик);;;;Seldon;Нижний Новгород;02.03.2022;https://kazan.hh.ru/vacancy/53282680?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Machine Learning Engineer (ML, Infrastructure);3000.0;;EUR;Greenscreens.AI;Москва;07.03.2022;https://kazan.hh.ru/vacancy/53209019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
ML Engineer/ Data Scientist (WAF);;;;Positive Technologies;Москва, Преображенская площадь;05.03.2022;https://kazan.hh.ru/vacancy/48285387?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Аналитик Data Scientist;;;;ИНВИТРО;Москва;01.03.2022;https://kazan.hh.ru/vacancy/52062723?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data Scientist;;;;Lamoda;Москва, Полежаевская и еще 1 ;03.03.2022;https://kazan.hh.ru/vacancy/48090484?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Middle/Senior Data Scientist;200000.0;;РУБ;JuicyScore;Москва;05.03.2022;https://kazan.hh.ru/vacancy/50467275?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
IT Expert - Data Architect;310100.0;387600.0;РУБ;Roche Polska Sp. z o.o.;Москва;05.03.2022;https://kazan.hh.ru/vacancy/52818313?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
ML Engineer/ Data Scientist (WAF);;;;Positive Technologies;Новосибирск, Площадь Гарина-Михайловского;05.03.2022;https://kazan.hh.ru/vacancy/48285480?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Стажер Data Scientist, ML Ops;;;;Capgemini;Нижний Новгород;28.02.2022;https://kazan.hh.ru/vacancy/53177774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data Scientist (Middle);;;;билайн;Москва;06.03.2022;https://kazan.hh.ru/vacancy/50630870?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data Scientist / Deep learning Engineer;;;;Дата Матрикс;Москва, Кропоткинская и еще 1 ;05.03.2022;https://kazan.hh.ru/vacancy/53416744?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data scientist;;;;ООО СберОбразование;Москва;04.03.2022;https://kazan.hh.ru/vacancy/53380404?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data scientist;;;;ПАО Промсвязьбанк;Москва, Павелецкая;03.03.2022;https://kazan.hh.ru/vacancy/52006250?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Middle Data Scientist;;;;Контур;Иннополис;02.03.2022;https://kazan.hh.ru/vacancy/53274253?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data Scientist (Data Lab Team);220000.0;;РУБ;Semrush;Санкт-Петербург, Московские ворота;01.03.2022;https://kazan.hh.ru/vacancy/51480968?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Data scientist / Machine learning engineer (команда Рекомендаций и машинного обучения, ВКонтакте);;;;VK, Социальные сети, Одноклассники;Санкт-Петербург, Невский проспект;02.03.2022;https://kazan.hh.ru/vacancy/53288165?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
ML Engineer/ Data Scientist (WAF);;;;Positive Technologies;Томск;05.03.2022;https://kazan.hh.ru/vacancy/48285490?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
Investigation Analyst;1000.0;2000.0;USD;Inca Digital;Санкт-Петербург;05.03.2022;https://kazan.hh.ru/vacancy/52256675?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist;https://hh.ru
